"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
"SV_654_Pelagibacterales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Pelagibacterales"	"Pelagibacteraceae"	"Pelagibacter"	"Pelagibacter_ubique_H(RS_GCF_002101295.1)"
"SV_655_NA"	"Bacteria"	NA	NA	NA	NA	NA	NA
"SV_656_Rhizobiales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Rhizobiaceae"	"Hoeflea"	NA
"SV_657_Pelagibacterales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Pelagibacterales"	"Pelagibacteraceae"	"Pelagibacter"	"Pelagibacter_ubique_H(RS_GCF_002101295.1)"
"SV_658_Rhodobacterales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	"Thalassobacter"	"Thalassobacter_stenotrophicus(RS_GCF_001458315.1)"
"SV_659_Pseudomonadales"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Alcanivoracaceae"	"Alcanivorax"	"Alcanivorax_nanhaiticus(RS_GCF_000756665.1)"
"SV_660_Campylobacterales"	"Bacteria"	"Campylobacterota"	"Campylobacteria"	"Campylobacterales"	"Arcobacteraceae"	"Arcobacter"	NA
"SV_661_Rhodobacterales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	"Maritimibacter"	NA
"SV_662_Rhodobacterales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	"Octadecabacter"	"Octadecabacter_ascidiaceicola(RS_GCF_900185015.1)"
"SV_663_NA"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	NA	NA	NA	NA
"SV_664_Rhodobacterales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	NA	NA
"SV_665_Actinomycetales"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Actinomycetales"	"Microbacteriaceae"	NA	NA
"SV_666_Rhodobacterales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	NA	NA
"SV_667_Rhodobacterales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	NA	NA
"SV_668_Rhodobacterales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	NA	NA
"SV_669_Rhodobacterales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	NA	NA
"SV_670_Rhodobacterales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	NA	NA
"SV_671_Rhodobacterales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	NA	NA
"SV_672_Pelagibacterales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Pelagibacterales"	"Pelagibacteraceae"	"Pelagibacter"	"Pelagibacter_ubique_H(RS_GCF_002101295.1)"
"SV_673_Rhodobacterales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	NA	NA
"SV_674_Pelagibacterales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Pelagibacterales"	"Pelagibacteraceae"	"Pelagibacter"	"Pelagibacter_ubique_H(RS_GCF_002101295.1)"
"SV_675_Rhodobacterales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	"HIMB11"	"(RS_GCF_000472185.1)"
"SV_676_Puniceispirillales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Puniceispirillales"	"AAA536-G10"	"AAA536-G10"	"(GB_GCA_000421325.1)"
"SV_677_Rhodobacterales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	NA	NA
"SV_678_Campylobacterales"	"Bacteria"	"Campylobacterota"	"Campylobacteria"	"Campylobacterales"	"Arcobacteraceae"	"Arcobacter"	NA
"SV_679_Rhodobacterales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	NA	NA
"SV_680_Rhodobacterales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	NA	NA
"SV_681_Rhodobacterales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	"Roseovarius"	NA
"SV_682_Rhodobacterales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	"Roseovarius"	NA
"SV_683_Rhodobacterales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	NA	NA
"SV_684_Rhodobacterales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	"Marivita"	"Marivita_cryptomonadis(RS_GCF_002115725.1)"
"SV_685_Rhizobiales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Rhizobiaceae"	"Hoeflea"	"(RS_GCF_001011155.1)"
"SV_686_Rhodobacterales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	"Roseovarius"	NA
"SV_687_Rhodobacterales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	NA	NA
"SV_688_Rhodobacterales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	NA	NA
"SV_689_Rhodobacterales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	NA	NA
"SV_690_Rhodobacterales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	"Litoreibacter"	"Litoreibacter_albidus(RS_GCF_900107015.1)"
"SV_691_Rhodobacterales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	NA	NA
"SV_692_Rhodobacterales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	"Litoreibacter"	"Litoreibacter_albidus(RS_GCF_900107015.1)"
"SV_693_Flavobacteriales"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"Flavobacteriaceae"	"MS024-2A"	"(RS_GCF_000173095.1)"
"SV_694_Rhodobacterales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	NA	NA
"SV_695_Rhodospirillales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodospirillales"	"Terasakiellaceae"	"Terasakiella"	"(RS_GCF_900093605.1)"
"SV_696_Betaproteobacteriales"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Betaproteobacteriales"	"Burkholderiaceae"	"Limnobacter"	"(RS_GCF_000170915.1)"
"SV_697_Rhodobacterales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	NA	NA
"SV_698_Betaproteobacteriales"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Betaproteobacteriales"	"Burkholderiaceae"	"Limnobacter"	"(RS_GCF_000170915.1)"
"SV_699_Pelagibacterales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Pelagibacterales"	"Pelagibacteraceae"	"Pelagibacter"	"Pelagibacter_ubique_H(RS_GCF_002101295.1)"
"SV_700_Sphingomonadales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Sphingomonadales"	"Sphingomonadaceae"	"Erythrobacter_A"	NA
